gene_name number_of_transposon_per_gene number_of_read_per_gene
YDL118W 2 77
CYK3 32 981
NUP84 5 7
IWR1 14 554
YDL114W-A 0 0
YDL114W 21 358
ATG20 23 618
TRM3 72 1915
RRP42 3 2
TMA17 13 233
YDL109C 47 2728
KIN28 6 72
MSS2 8 184
PHO2 26 902
NSE4 0 0
QRI7 11 143
QRI1 4 20
POL3 7 35
DUN1 13 233
GET3 11 381
BUG1 24 720
SNU23 2 6
RPN6 2 1
OPI6 12 381
PMT1 22 609
YDL094C 25 1647
PMT5 48 2310
SRP14 11 692
UBX3 15 299
RAM1 1 0
NUR1 31 641
ASM4 13 208
LUC7 2 2
YDL086W 40 1778
YDL086C-A 29 1118
YDL085C-A 11 292
NDE2 25 1785
SUB2 0 0
RPS16B 6 243
RPL13A 7 55
RPP1A 2 2
THI3 24 391
MRK1 49 1974
MDH3 12 45
VAM6 6 55
RXT3 30 910
RPL31A 0 0
BRE1 2 1
YDL073W 58 1933
YET3 16 471
YDL071C 34 657
BDF2 26 572
CBS1 0 0
YDL068W 0 0
COX9 0 0
IDP1 35 1474
PEX19 21 932
UBC9 3 3
SYO1 17 245
YDL062W 4 7
RPS29B 3 2
TSR1 4 3
RAD59 22 385
USO1 26 496
YDL057W 46 2228
MBP1 37 908
PSA1 1 0
MCH1 57 3054
PBP4 9 46
SLC1 38 2190
LHP1 38 1236
YDL050C 24 748
KNH1 68 3748
STP4 57 3251
SIT4 2 1
NPC2 13 338
MRP10 1 0
FAD1 0 0
MTF2 0 0
PRP11 0 0
SIR2 60 3652
YDL041W 20 585
NAT1 31 2124
PRM7 43 2249
BSC1 13 205
PUS9 31 920
GPR1 33 1139
YDL034W 5 28
SLM3 13 245
YDL032W 5 32
DBP10 1 0
PRP9 6 28
ARP2 1 0
MPS1 17 334
YDL027C 21 630
YDL026W 8 93
RTK1 20 294
YDL025W-A 1 0
DIA3 37 2378
YDL022C-A 22 1189
YDL023C 20 619
GPD1 50 2650
GPM2 71 2488
RPN4 38 1130
OSH2 119 12471
ERP3 27 1308
CDC7 9 15
YDL016C 13 336
TSC13 0 0
NOP1 0 0
SLX5 18 464
YDL012C 34 1373
YDL011C 32 1081
GRX6 52 1750
