gene_name number_of_transposon_per_gene number_of_read_per_gene
YOR131C 16 339
VPS17 19 773
EFT1 11 65
BAG7 51 4200
IRC14 0 0
IDH2 3 2
SIA1 26 1557
RUP1 55 2777
YOR139C 2 1
SFL1 51 1539
ARP8 5 4
LSC1 8 308
THI80 8 26
ELG1 35 1171
PNO1 0 0
YOR146W 0 0
MDM32 5 14
SPP2 6 103
SMP3 2 1
MRPL23 3 19
RPB2 3 2
YOR152C 1 0
PDR5 35 649
SLP1 16 376
ISN1 15 408
NFI1 37 1596
PUP1 5 5
PET123 2 15
SME1 0 0
MTR10 5 5
PNS1 36 1436
YOR161W-A 5 11
YOR161W-B 2 1
YOR161C-C 3 22
YRR1 50 3528
DDP1 22 496
GET4 7 186
SEY1 55 2558
SWT1 23 825
RPS28A 0 0
GLN4 2 1
YOR169C 4 20
YOR170W 1 0
LCB4 12 101
YRM1 37 1285
DCS2 16 437
MED4 11 109
ALE1 24 839
HEM15 9 70
MPC54 29 1461
GAC1 21 729
SYC1 14 197
DCI1 6 100
LAS17 15 272
RPS30B 3 7
FYV12 40 1167
SER1 8 70
GSP2 11 31
YOR186W 23 988
YOR186C-A 18 821
TUF1 2 1
MSB1 33 1213
IES4 0 0
SPR1 17 506
ULS1 21 616
THI72 27 1441
YOR192C-C 0 0
PEX27 11 194
TOA1 1 0
SLK19 17 1013
LIP5 3 3
MCA1 23 500
BFR1 8 164
YOR199W 15 435
YOR200W 7 65
MRM1 1 0
HIS3 12 90
YOR203W 16 503
DED1 6 8
GEP3 5 4
NOC2 0 0
RET1 6 10
PTP2 7 103
NPT1 10 259
RPB10 1 0
MGM1 5 5
STE4 18 400
SAS5 13 607
SPR2 11 140
AIM41 6 63
RUD3 11 90
RFC1 12 95
YOR218C 3 25
STE13 29 583
RCN2 8 191
MCT1 6 20
ODC2 40 2141
DSC3 21 1249
RPB8 0 0
YOR225W 18 616
ISU2 14 212
HER1 36 1587
MCP1 16 606
WTM2 53 2895
WTM1 38 1392
MKK1 26 895
YOR231C-A 2 1
MGE1 1 0
KIN4 52 1127
RPL33B 11 225
IRC13 11 105
DFR1 4 3
HES1 17 397
YOR238W 20 277
ABP140 31 930
MET7 15 373
SSP2 19 541
PUS7 24 1414
ESA1 6 9
DGA1 13 122
ENV9 4 30
SRL1 7 77
YOR248W 6 61
APC5 1 0
CLP1 2 1
TUM1 11 570
TMA16 7 182
NAT5 6 21
SEC63 6 58
OSW1 16 344
TRE2 8 55
CDC31 0 0
HNT3 7 61
RPT4 2 1
GCD1 6 45
RPN8 2 14
GPN2 6 12
YOR263C 18 244
DSE3 27 999
RBL2 3 237
PNT1 25 1117
HRK1 26 1103
YOR268C 27 1231
PAC1 5 31
VPH1 12 131
FSF1 15 146
YTM1 3 2
TPO4 50 2964
MOD5 15 421
RIM20 18 270
CAF20 10 298
YOR277C 5 14
HEM4 0 0
RFM1 4 16
FSH3 15 761
PLP2 3 2
YOR282W 6 61
YOR283W 7 100
HUA2 13 52
RDL1 21 739
RDL2 16 609
RRP36 1 0
MPD1 12 112
YOR289W 17 1012
SNF2 14 184
YPK9 25 999
YOR292C 23 763
RPS10A 0 0
YOR293C-A 2 1
RRS1 1 0
UAF30 9 350
YOR296W 49 2308
TIM18 14 306
MUM3 43 1442
MBF1 5 148
BUD7 24 376
YOR300W 24 707
RAX1 67 3725
YOR302W 1 0
CPA1 2 11
ISW2 41 830
BIL1 9 159
RRG7 3 31
MCH5 26 921
SLY41 16 215
SNU66 16 394
YOR309C 0 0
NOP58 1 0
DGK1 10 406
RPL20B 0 0
SPS4 17 830
YOR314W 13 70
YOR314W-A 3 4
SFG1 23 499
COT1 31 1508
YOR316C-A 33 1687
FAA1 42 1244
YOR318C 36 1598
HSH49 0 0
GNT1 22 961
PMT3 53 2945
LDB19 28 467
PRO2 1 0
FRT1 15 420
YOR325W 4 92
MYO2 14 30
SNC2 6 133
PDR10 77 2408
SCD5 6 32
YOR329W-A 8 218
MIP1 9 32
YOR331C 11 355
VMA4 1 0
YOR333C 1 0
MRS2 3 9
ALA1 4 4
YOR335W-A 0 0
KRE5 13 201
TEA1 32 2505
YOR338W 32 1357
UBC11 7 37
RPA43 1 0
RPA190 5 10
YOR342C 19 886
YOR343C 29 719
TYE7 10 259
YOR345C 4 30
REV1 41 1656
PYK2 13 582
PUT4 243 15420
CIN1 88 4164
MNE1 3 4
MEK1 13 265
TFB6 13 687
SOG2 17 674
MSC6 14 115
GDS1 14 111
CIR2 38 1165
SNX3 10 361
HAP5 20 776
VTS1 13 249
PDE2 10 374
PRT1 24 922
PRE10 2 1
PIP2 28 588
YOR364W 27 1431
YOR365C 59 2602
YOR366W 6 24
SCP1 12 204
RAD17 13 385
RPS12 1 0
MRS6 5 4
GPB1 47 2125
NDD1 2 3
NUD1 9 38
ALD4 33 678
GDH1 13 523
YOR376W 18 786
YOR376W-A 1 0
ATF1 24 735
AMF1 32 1647
YOR379C 24 968
RDR1 38 1482
FRE3 35 868
YOR381W-A 11 314
FIT2 5 9
FIT3 12 60
FRE5 20 368
YOR385W 13 157
PHR1 20 470
YOR387C 4 25
FDH1 9 461
YOR389W 24 1077
FEX1 4 167
HSP33 9 429
YOR392W 18 213
ERR1 5 6
PAU21 0 0
YOR394C-A 8 390
YRF1-8 76 123
YOR396C-A 6 5
YRF1-7 69 138
YPL283W-B 4 3
YPL283W-A 3 2
PAU22 1 0
ERR2 5 4
HSP32 2 1
FEX2 8 11
YPL278C 4 45
YPL277C 15 1156
SAM3 26 1060
SAM4 7 56
PBI1 13 139
ATP15 1 0
MDL2 34 828
KAR9 51 1943
PLC1 4 53
ACM1 13 64
DIM1 1 0
DIP5 25 357
YPL264C 14 199
KEL3 53 2058
FUM1 2 1
YPL261C 20 873
YPL260W 21 1010
APM1 22 917
THI21 51 3586
YPL257W 14 393
CLN2 18 217
BBP1 4 3
HFI1 3 4
VIK1 59 3263
YAH1 4 5
YPL251W 0 0
ICY2 1 0
RPL36B 0 0
YPL250W-A 0 0
GYP5 39 1431
GAL4 15 548
YPL247C 21 516
RBD2 11 158
YPL245W 30 1028
HUT1 32 2797
SRP68 1 0
IQG1 13 16
CIN2 21 252
HSP82 40 1783
YAR1 2 25
YPL238C 0 0
SUI3 0 0
ENV7 12 150
RVB2 3 2
VMA11 1 0
NSL1 5 72
SSO1 18 792
FAS2 6 6
USV1 26 514
YPL229W 10 157
CET1 0 0
ALG5 9 82
NEW1 8 129
YPL225W 0 0
MMT2 43 1756
GRE1 14 509
FMP40 66 3421
YPL222C-A 11 207
FLC1 59 2859
RPL1A 2 1
PCL8 21 732
SAR1 1 0
BMS1 4 5
YPL216W 55 2026
CBP3 5 48
THI6 29 1052
LEA1 15 282
PUS1 46 2259
NIP7 3 2
SRP72 7 33
IPL1 1 0
RKM1 25 1057
TYW1 39 1722
PGC1 24 1996
YPL205C 17 882
HRR25 17 525
TPK2 19 609
AFT2 16 551
YIG1 21 256
CSM4 6 27
YPL199C 9 627
RPL7B 12 139
YPL197C 1 0
OXR1 16 393
APL5 11 84
DDC1 19 209
RSA1 6 37
PRM3 8 11
YPL191C 24 499
NAB3 2 1
COA2 0 0
GUP2 47 1377
POS5 2 4
MF(ALPHA)1 6 30
UIP4 20 455
YPL185W 37 2331
MRN1 41 1604
RTC6 0 0
RTT10 42 1676
YPL182C 5 26
CTI6 14 132
TCO89 34 1178
PPQ1 34 1611
CBC2 6 60
CUP9 29 1731
TRE1 70 3457
SPT14 8 42
NIP100 8 83
MRPL40 2 1
COX10 1 0
OYE3 27 914
DAP1 24 987
MEX67 2 5
YPL168W 16 198
REV3 34 933
ATG29 2 15
SET6 16 494
MLH3 33 1353
SVS1 13 54
YPL162C 7 197
BEM4 7 29
CDC60 4 3
PET20 14 735
AIM44 49 1180
TGS1 39 1030
PRM4 19 408
KIP2 56 2916
PEP4 8 66
RAD53 16 260
YPL152W-A 1 0
RRD2 7 155
PRP46 6 42
YPL150W 36 793
ATG5 3 27
PPT2 2 1
PXA1 18 319
NOP53 0 0
KES1 9 52
POC4 6 88
RPL33A 3 3
YPL142C 0 0
FRK1 52 1721
MKK2 23 675
UME1 8 231
SPP1 13 301
GIP3 59 1730
YPL136W 7 37
ISU1 2 1
YPL135C-A 1 0
ODC1 41 1567
RDS2 30 1355
COX11 4 4
RPL5 0 0
SPO19 9 171
TAF14 0 0
TBF1 1 0
HHO1 34 1904
NAN1 2 1
KAP120 19 317
SPC29 0 0
RNY1 17 365
TFB2 4 10
MEI5 4 20
VPS30 6 150
YPL119C-A 4 34
DBP1 21 899
MRP51 1 0
IDI1 6 9
HOS3 38 1659
BEM3 22 1009
YPL114W 14 541
YPL113C 27 1123
PEX25 26 1649
CAR1 127 8361
GDE1 64 3365
YPL109C 34 800
YPL108W 12 48
YPL107W 23 2021
SSE1 8 914
SYH1 52 1684
MSD1 4 14
FMP30 27 818
YPL102C 12 939
ELP4 12 248
ATG21 8 112
INA17 7 112
MGR2 1 0
MSY1 5 6
ERI1 0 0
PNG1 18 1292
EEB1 40 1851
SEC62 4 45
NOG1 7 9
SSU1 37 1513
GLR1 26 644
RPS6A 1 0
RLM1 8 191
YPL088W 26 1463
YDC1 15 134
ELP3 10 194
SEC16 14 363
BRO1 4 12
SEN54 1 0
MOT1 8 10
RPS9A 22 906
YPL080C 26 994
RPL21B 7 58
ATP4 0 0
YPL077C 8 103
GPI2 2 126
GCR1 30 671
YTA6 33 1424
YPL073C 9 143
UBP16 20 604
YPL071C 12 420
MUK1 27 1716
BTS1 16 602
YPL068C 13 244
YPL067C 42 2166
RGL1 36 2412
VPS28 1 0
CWC27 14 497
TIM50 7 106
YPL062W 50 2868
ALD6 25 763
MFM1 6 9
GRX5 2 2
PDR12 56 3598
SUR1 19 484
LCL1 35 1000
LGE1 6 71
LEE1 38 2379
KTR6 37 1724
OAZ1 11 80
ARL3 3 38
MNN9 0 0
DIG1 73 3911
CAM1 25 1146
SGF11 9 91
ELC1 10 67
VPS16 11 195
YPL044C 1 0
NOP4 17 297
SSN3 27 1020
YPL041C 23 1133
ISM1 5 6
YPL039W 51 2769
YPL038W-A 7 49
MET31 22 1379
EGD1 65 15989
PMA2 63 1893
YPL035C 12 98
YPL034W 27 654
SRL4 13 674
SVL3 52 2131
PHO85 11 86
TRM44 61 2842
SUV3 3 3
ERG10 2 1
SMA1 52 1466
SKS1 19 1010
YPL025C 43 2012
RMI1 8 61
MET12 27 1231
RAD1 34 784
ECM23 24 621
ULP1 9 27
VTC3 135 7627
CTF19 18 599
IRC15 123 7674
SWI1 16 166
HST2 132 7040
YPL014W 118 6568
MRPS16 12 146
RRP12 7 74
TAF3 24 1339
RET3 2 1
RQC2 103 4063
CHL1 76 3230
TFC8 5 54
NCR1 302 21519
AEP3 3 16
LSP1 59 3477
ULA1 176 8676
SNF8 11 193
HAT1 89 3889
CIT3 232 15779
PDH1 189 14806
YPR002C-A 11 139
YPR003C 185 10177
AIM45 68 3278
HAL1 49 2278
ICL2 155 7983
REC8 170 9782
HAA1 116 9436
SUT2 36 1420
RPA135 6 23
YPR010C-A 17 1095
YPR011C 93 4640
YPR012W 10 387
CMR3 37 1305
YPR014C 23 341
YPR015C 48 2391
TIF6 3 2
YPR016W-A 20 239
DSS4 9 345
RLF2 40 1687
MCM4 6 9
ATP20 2 2
AGC1 69 2719
YPR022C 83 2787
EAF3 27 1494
YME1 4 4
CCL1 3 74
ATH1 101 5183
YPR027C 17 287
YOP1 22 743
APL4 38 607
CSR2 47 1658
NTO1 79 4026
SRO7 51 2280
HTS1 8 20
ARP7 10 533
GLN1 4 5
VMA13 18 396
SPO24 13 252
ERV2 52 3505
IRC16 41 2800
YPR039W 44 2522
TIP41 21 539
TIF5 5 18
PUF2 49 1556
RPL43A 3 2
OPI11 1 0
THP3 20 938
MCM16 3 15
MSF1 4 3
TAH18 3 2
ATG11 42 1725
YPR050C 48 2162
MAK3 61 3590
NHP6A 20 917
YPR053C 36 1406
SMK1 21 936
SEC8 27 660
TFB4 6 7
BRR1 21 745
YMC1 20 977
YPR059C 7 38
ARO7 7 263
JID1 7 84
FCY1 23 882
YPR063C 18 672
YPR064W 33 1928
ROX1 8 73
UBA3 38 2773
ISA2 0 0
HOS1 29 982
SPE3 18 322
MED1 27 791
YPR071W 19 779
NOT5 6 10
LTP1 11 409
TKL1 7 305
YPR074W-A 28 546
OPY2 15 318
YPR076W 9 187
YPR077C 37 1485
YPR078C 49 1767
MRL1 32 1904
TEF1 2 1
GRS2 64 3377
DIB1 4 3
MDM36 21 317
YPR084W 20 436
ASA1 1 0
SUA7 0 0
VPS69 4 119
SRP54 6 219
YPR089W 50 2233
NVJ2 25 939
YPR092W 32 1782
ASR1 29 1335
RDS3 0 0
SYT1 44 1604
YPR096C 16 1418
YPR097W 72 3891
YPR098C 20 508
YPR099C 1 0
MRPL51 1 0
SNT309 3 3
RPL11A 1 0
PRE2 3 2
FHL1 21 914
COG4 5 4
ISR1 8 58
YTH1 5 302
RPN7 5 5
YPR108W-A 21 1188
YPR109W 40 2047
RPC40 4 5
DBF20 45 1295
MRD1 2 1
PIS1 6 13
YPR114W 19 698
RGC1 35 1024
RRG8 2 2
YPR117W 79 2776
MRI1 28 675
CLB2 3 7
CLB5 42 1166
THI22 35 1302
AXL1 88 4388
YPR123C 3 8
CTR1 10 476
YLH47 42 1363
YPR126C 15 297
YPR127W 17 166
ANT1 29 763
SCD6 21 283
YPR130C 7 31
NAT3 1 0
RPS23B 2 1
SPN1 9 19
TOM5 0 0
MSS18 4 30
CTF4 7 47
YPR136C 0 0
RRP9 3 2
MEP3 58 1749
LOA1 0 0
TAZ1 17 434
KAR3 2 9
YPR142C 22 623
RRP15 2 1
NOC4 7 78
ASN1 32 815
YPR145C-A 9 347
YPR146C 50 2844
YPR147C 25 828
YPR148C 22 587
NCE102 6 234
YPR150W 30 992
SUE1 36 1757
URN1 78 3234
YPR153W 14 874
PIN3 12 123
NCA2 34 1233
TPO3 23 1608
TDA6 52 2203
CUR1 12 256
KRE6 13 436
YPR159C-A 2 5
GPH1 44 1765
YPR160W-A 2 5
YPR160C-A 3 80
SGV1 8 136
ORC4 4 3
TIF3 3 4
MMS1 25 873
RHO1 0 0
MRP2 1 0
MET16 8 40
NUT2 10 283
JIP5 5 48
YPR170C 26 739
YPR169W-A 6 44
YPR170W-B 10 336
YPR170W-A 4 22
BSP1 40 1810
YPR172W 15 786
VPS4 2 1
YPR174C 8 197
DPB2 4 5
BET2 0 0
YPR177C 4 108
PRP4 10 119
HDA3 47 2669
AOS1 2 1
SEC23 4 7
SMX3 1 0
DPM1 4 7
GDB1 76 2919
ATG13 18 377
PZF1 1 0
RPO26 1 0
MLC2 2 2
SKI3 11 107
RPC82 8 12
QCR2 1 0
AQY1 57 1822
HPA2 14 292
OPT2 28 951
YPR195C 26 455
YPR196W 39 2118
YPR197C 13 103
SGE1 21 639
ARR1 17 664
ARR2 11 107
ARR3 26 1341
YPR202W 11 12
YPR203W 1 0
YPR204W 26 31
YPR204C-A 3 2
Q0010 0 0
Q0017 0 0
Q0032 0 0
AI1 26 82
AI2 49 128
AI3 52 131
AI4 55 134
AI5_ALPHA 67 163
COX1 67 163
AI5_BETA 0 0
ATP8 0 0
ATP6 0 0
Q0092 0 0
BI2 1 0
BI3 1 0
BI4 1 0
COB 1 0
OLI1 0 0
VAR1 1 0
Q0142 0 0
Q0143 0 0
Q0144 0 0
SCEI 0 0
Q0182 0 0
COX2 13 22
Q0255 0 0
COX3 11 25
Q0297 0 0
